Date,Open,High,Low,Close,Volume,Currency,Source,Symbol
2020-01-01,7196.4,7259.4,7180.0,7199.8,420278,USD,Investing.com,BITCOIN
2020-01-02,7199.7,7209.6,6901.4,6967.0,632778,USD,Investing.com,BITCOIN
2020-01-03,6967.1,7402.9,6884.1,7343.1,936288,USD,Investing.com,BITCOIN
2020-01-04,7345.1,7433.1,7291.4,7376.8,523909,USD,Investing.com,BITCOIN
2020-01-05,7376.8,7501.0,7345.6,7372.5,628142,USD,Investing.com,BITCOIN
2020-01-06,7372.6,7783.1,7366.7,7759.1,786750,USD,Investing.com,BITCOIN
2020-01-07,7759.1,8182.0,7754.1,8155.7,1013985,USD,Investing.com,BITCOIN
2020-01-08,8154.2,8436.4,7900.8,8059.6,1188887,USD,Investing.com,BITCOIN
2020-01-09,8060.0,8065.9,7779.2,7842.4,786500,USD,Investing.com,BITCOIN
2020-01-10,7842.5,8187.4,7697.7,8187.1,1049642,USD,Investing.com,BITCOIN
2020-01-11,8187.8,8262.9,8008.4,8024.1,776750,USD,Investing.com,BITCOIN
2020-01-12,8023.3,8189.9,7973.1,8187.6,595217,USD,Investing.com,BITCOIN
2020-01-13,8188.3,8196.7,8068.4,8111.4,610664,USD,Investing.com,BITCOIN
2020-01-14,8111.2,8898.7,8111.2,8829.2,1482862,USD,Investing.com,BITCOIN
2020-01-15,8827.9,8904.0,8615.5,8818.3,1172542,USD,Investing.com,BITCOIN
2020-01-16,8818.1,8850.0,8605.8,8726.9,748321,USD,Investing.com,BITCOIN
2020-01-17,8726.7,9005.1,8675.9,8913.1,794106,USD,Investing.com,BITCOIN
2020-01-18,8913.0,8982.3,8814.6,8916.3,627743,USD,Investing.com,BITCOIN
2020-01-19,8916.3,9183.7,8552.8,8706.2,975005,USD,Investing.com,BITCOIN
2020-01-20,8705.7,8740.1,8539.2,8641.9,599057,USD,Investing.com,BITCOIN
2020-01-21,8642.0,8770.3,8524.0,8732.6,540202,USD,Investing.com,BITCOIN
2020-01-22,8733.0,8805.4,8610.8,8678.5,509057,USD,Investing.com,BITCOIN
2020-01-23,8678.5,8687.3,8309.6,8405.1,722670,USD,Investing.com,BITCOIN
2020-01-24,8404.9,8522.0,8242.6,8439.9,617019,USD,Investing.com,BITCOIN
2020-01-25,8439.9,8447.6,8277.2,8341.6,443997,USD,Investing.com,BITCOIN
2020-01-26,8341.6,8607.8,8304.9,8607.8,468343,USD,Investing.com,BITCOIN
2020-01-27,8608.1,8983.1,8585.6,8866.6,706451,USD,Investing.com,BITCOIN
2020-01-28,8866.6,9389.5,8866.6,9377.3,954201,USD,Investing.com,BITCOIN
2020-01-29,9377.3,9428.7,9250.9,9298.9,749884,USD,Investing.com,BITCOIN
2020-01-30,9299.1,9569.0,9209.2,9507.3,765205,USD,Investing.com,BITCOIN
2020-01-31,9508.3,9525.0,9222.3,9349.1,633368,USD,Investing.com,BITCOIN
2020-02-01,9349.3,9458.8,9301.5,9381.6,458416,USD,Investing.com,BITCOIN
2020-02-02,9381.5,9465.4,9183.1,9334.9,683370,USD,Investing.com,BITCOIN
2020-02-03,9334.6,9582.8,9243.1,9296.6,701391,USD,Investing.com,BITCOIN
2020-02-04,9296.5,9347.5,9193.9,9193.9,651675,USD,Investing.com,BITCOIN
2020-02-05,9194.1,9726.8,9179.9,9611.8,771456,USD,Investing.com,BITCOIN
2020-02-06,9611.8,9854.9,9536.1,9772.0,778674,USD,Investing.com,BITCOIN
2020-02-07,9771.9,9872.5,9738.7,9818.6,608959,USD,Investing.com,BITCOIN
2020-02-08,9817.3,9931.2,9673.2,9895.5,551308,USD,Investing.com,BITCOIN
2020-02-09,9895.4,10157.1,9882.7,10151.5,617351,USD,Investing.com,BITCOIN
2020-02-10,10151.5,10181.7,9774.8,9854.1,781219,USD,Investing.com,BITCOIN
2020-02-11,9854.0,10314.1,9725.1,10229.5,791277,USD,Investing.com,BITCOIN
2020-02-12,10229.3,10435.6,10229.3,10317.7,803245,USD,Investing.com,BITCOIN
2020-02-13,10321.9,10482.6,10116.9,10235.1,940303,USD,Investing.com,BITCOIN
2020-02-14,10235.5,10372.4,10125.2,10333.0,732507,USD,Investing.com,BITCOIN
2020-02-15,10336.0,10369.8,9831.7,9907.7,808811,USD,Investing.com,BITCOIN
2020-02-16,9907.4,10056.4,9654.9,9932.3,808907,USD,Investing.com,BITCOIN
2020-02-17,9931.7,9951.5,9468.9,9701.4,961876,USD,Investing.com,BITCOIN
2020-02-18,9701.5,10230.1,9601.6,10158.4,945907,USD,Investing.com,BITCOIN
2020-02-19,10158.6,10230.9,9424.3,9609.4,905945,USD,Investing.com,BITCOIN
2020-02-20,9611.9,9681.4,9448.9,9602.4,870803,USD,Investing.com,BITCOIN
2020-02-21,9602.2,9747.1,9574.5,9684.5,716605,USD,Investing.com,BITCOIN
2020-02-22,9684.5,9706.5,9569.8,9655.7,589876,USD,Investing.com,BITCOIN
2020-02-23,9655.6,9965.6,9653.4,9942.7,775884,USD,Investing.com,BITCOIN
2020-02-24,9943.2,9981.0,9507.0,9662.7,980004,USD,Investing.com,BITCOIN
2020-02-25,9662.6,9672.3,9269.8,9317.2,937965,USD,Investing.com,BITCOIN
2020-02-26,9317.1,9368.1,8672.0,8800.3,1323539,USD,Investing.com,BITCOIN
2020-02-27,8800.1,8968.3,8538.5,8818.6,1133327,USD,Investing.com,BITCOIN
2020-02-28,8820.1,8898.7,8451.9,8697.5,1077381,USD,Investing.com,BITCOIN
2020-02-29,8697.1,8793.7,8539.8,8543.7,683436,USD,Investing.com,BITCOIN
2020-03-01,8543.8,8737.2,8437.2,8540.0,784049,USD,Investing.com,BITCOIN
2020-03-02,8537.5,8961.8,8503.1,8904.8,1021475,USD,Investing.com,BITCOIN
2020-03-03,8906.1,8911.7,8669.3,8761.4,1012695,USD,Investing.com,BITCOIN
2020-03-04,8761.3,8840.3,8679.7,8757.9,759692,USD,Investing.com,BITCOIN
2020-03-05,8757.9,9147.3,8751.5,9060.3,950755,USD,Investing.com,BITCOIN
2020-03-06,9060.6,9165.2,9004.9,9134.8,1041101,USD,Investing.com,BITCOIN
2020-03-07,9134.2,9180.8,8848.7,8887.8,750651,USD,Investing.com,BITCOIN
2020-03-08,8887.8,8888.0,8015.3,8034.1,1110711,USD,Investing.com,BITCOIN
2020-03-09,8035.8,8158.8,7648.7,7933.0,1535822,USD,Investing.com,BITCOIN
2020-03-10,7933.0,8145.5,7740.2,7891.2,1202442,USD,Investing.com,BITCOIN
2020-03-11,7892.1,7976.5,7606.0,7935.1,1102878,USD,Investing.com,BITCOIN
2020-03-12,7935.2,7963.1,4546.6,4826.0,3220453,USD,Investing.com,BITCOIN
2020-03-13,4815.2,5934.3,3869.5,5584.3,4174720,USD,Investing.com,BITCOIN
2020-03-14,5589.4,5634.9,5072.2,5182.7,1694770,USD,Investing.com,BITCOIN
2020-03-15,5182.9,5863.3,5120.6,5366.3,1614735,USD,Investing.com,BITCOIN
2020-03-16,5366.4,5369.3,4477.7,5030.0,2551734,USD,Investing.com,BITCOIN
2020-03-17,5030.2,5432.8,4946.5,5261.1,1888875,USD,Investing.com,BITCOIN
2020-03-18,5260.7,5373.1,5020.9,5361.4,1801645,USD,Investing.com,BITCOIN
2020-03-19,5359.2,6379.5,5256.0,6172.0,2178982,USD,Investing.com,BITCOIN
2020-03-20,6171.6,6858.1,5748.2,6205.3,2218056,USD,Investing.com,BITCOIN
2020-03-21,6205.6,6438.3,5887.0,6186.2,1636421,USD,Investing.com,BITCOIN
2020-03-22,6186.9,6394.4,5771.2,5822.1,1481709,USD,Investing.com,BITCOIN
2020-03-23,5822.0,6564.7,5710.8,6468.9,1884403,USD,Investing.com,BITCOIN
2020-03-24,6468.8,6814.2,6380.8,6744.6,1728280,USD,Investing.com,BITCOIN
2020-03-25,6744.8,6930.2,6474.6,6678.9,1523907,USD,Investing.com,BITCOIN
2020-03-26,6677.9,6772.9,6541.7,6725.1,1181484,USD,Investing.com,BITCOIN
2020-03-27,6725.5,6813.7,6322.3,6373.4,1160216,USD,Investing.com,BITCOIN
2020-03-28,6373.4,6374.3,6046.5,6233.7,1258262,USD,Investing.com,BITCOIN
2020-03-29,6233.2,6258.8,5889.3,5890.4,916167,USD,Investing.com,BITCOIN
2020-03-30,5890.4,6576.5,5872.5,6391.0,1427435,USD,Investing.com,BITCOIN
