Date,Open,High,Low,Close,Volume,Currency,Source,Symbol
2020-01-01,129.21,132.97,128.81,130.75,10353998,USD,Investing.com,ETHEREUM
2020-01-02,130.75,130.77,126.74,127.19,11446378,USD,Investing.com,ETHEREUM
2020-01-03,127.19,134.86,126.05,134.27,15674423,USD,Investing.com,ETHEREUM
2020-01-04,134.3,135.57,132.76,134.33,11160462,USD,Investing.com,ETHEREUM
2020-01-05,134.32,138.33,134.32,135.59,12192829,USD,Investing.com,ETHEREUM
2020-01-06,135.59,144.27,135.17,144.08,14361854,USD,Investing.com,ETHEREUM
2020-01-07,144.09,145.13,139.22,143.04,13579692,USD,Investing.com,ETHEREUM
2020-01-08,143.01,147.55,137.61,140.81,13714344,USD,Investing.com,ETHEREUM
2020-01-09,140.8,141.6,135.85,137.92,11382289,USD,Investing.com,ETHEREUM
2020-01-10,137.93,144.86,135.69,144.81,13372411,USD,Investing.com,ETHEREUM
2020-01-11,144.81,147.68,142.23,142.67,12460405,USD,Investing.com,ETHEREUM
2020-01-12,142.65,146.46,142.0,146.46,10013377,USD,Investing.com,ETHEREUM
2020-01-13,146.5,146.87,142.64,143.6,10259721,USD,Investing.com,ETHEREUM
2020-01-14,143.59,169.73,143.59,166.07,22845532,USD,Investing.com,ETHEREUM
2020-01-15,166.07,166.45,159.74,166.45,16656707,USD,Investing.com,ETHEREUM
2020-01-16,166.44,167.18,159.08,164.36,16241698,USD,Investing.com,ETHEREUM
2020-01-17,164.39,173.96,162.33,170.22,18566608,USD,Investing.com,ETHEREUM
2020-01-18,170.18,179.29,165.34,174.19,17418712,USD,Investing.com,ETHEREUM
2020-01-19,174.17,177.77,162.04,166.92,15842082,USD,Investing.com,ETHEREUM
2020-01-20,166.92,169.24,161.61,166.87,11302621,USD,Investing.com,ETHEREUM
2020-01-21,166.87,169.79,165.53,169.41,11522436,USD,Investing.com,ETHEREUM
2020-01-22,169.41,171.27,166.19,168.13,11298723,USD,Investing.com,ETHEREUM
2020-01-23,168.15,168.25,159.78,162.8,14859899,USD,Investing.com,ETHEREUM
2020-01-24,162.8,164.27,155.65,162.55,14875911,USD,Investing.com,ETHEREUM
2020-01-25,162.56,162.72,157.87,160.44,9633529,USD,Investing.com,ETHEREUM
2020-01-26,160.4,168.0,159.55,167.9,9821478,USD,Investing.com,ETHEREUM
2020-01-27,167.91,171.97,165.45,170.27,12538235,USD,Investing.com,ETHEREUM
2020-01-28,170.27,176.06,170.27,175.74,12625114,USD,Investing.com,ETHEREUM
2020-01-29,175.78,178.41,173.76,173.86,11268226,USD,Investing.com,ETHEREUM
2020-01-30,173.86,186.76,171.2,184.59,13021996,USD,Investing.com,ETHEREUM
2020-01-31,184.6,185.67,175.46,179.91,11766620,USD,Investing.com,ETHEREUM
2020-02-01,179.88,184.17,179.36,183.64,13238924,USD,Investing.com,ETHEREUM
2020-02-02,183.58,193.25,179.49,188.5,14537933,USD,Investing.com,ETHEREUM
2020-02-03,188.48,194.92,187.16,189.79,11953885,USD,Investing.com,ETHEREUM
2020-02-04,189.8,191.48,188.93,188.93,11560405,USD,Investing.com,ETHEREUM
2020-02-05,188.94,207.51,188.26,203.83,14674494,USD,Investing.com,ETHEREUM
